grt,replica
692.659493,50
685.909449,50
669.025651,50
698.945519,50
685.923820,50
651.293900,50
707.125043,50
720.797484,50
695.660547,50
688.359020,50
691.117774,50
686.773862,50
712.886326,50
705.075072,50
711.968395,50
684.233222,50
672.615191,50
674.704729,50
672.185964,50
682.939973,50
685.065903,50
704.143043,50
681.708521,50
666.536692,50
691.940418,50
705.125075,50
667.522489,50
701.490550,50
669.459736,50
683.897530,50
689.819508,50
688.316304,50
672.415270,50
711.735573,50
687.926345,50
693.921896,50
690.548677,50
685.483246,50
687.730816,50
687.759633,50
695.731708,50
720.786426,50
691.867936,50
705.971425,50
687.313160,50
696.468528,50
666.525256,50
681.235157,50
696.116561,50
693.352499,50
