grt,replica
667.296775,350
664.772424,350
676.149013,350
679.612695,350
677.945260,350
670.884473,350
666.326474,350
659.256153,350
668.171274,350
686.493705,350
657.088058,350
665.186727,350
684.699436,350
655.528855,350
692.819598,350
660.466052,350
669.549798,350
687.531474,350
684.368543,350
668.747254,350
684.199739,350
672.166100,350
671.113584,350
663.107973,350
670.966142,350
664.306368,350
680.589756,350
672.427907,350
690.306424,350
655.081159,350
666.028785,350
675.728961,350
708.278596,350
679.168786,350
676.027091,350
681.262375,350
655.940061,350
679.807844,350
675.047824,350
678.138917,350
656.187615,350
676.610822,350
678.421568,350
673.596586,350
658.269046,350
671.787998,350
671.569585,350
647.127464,350
686.257794,350
689.246494,350
675.311345,350
689.092824,350
654.133104,350
704.663296,350
686.076008,350
686.160108,350
678.222547,350
665.126954,350
685.166467,350
664.951624,350
675.502184,350
672.009978,350
672.050350,350
664.868419,350
671.598741,350
682.515587,350
668.498156,350
678.264961,350
672.132390,350
671.589335,350
684.525840,350
651.795864,350
674.858878,350
700.301610,350
658.943643,350
669.257643,350
691.413781,350
673.894251,350
719.434081,350
652.557160,350
667.426421,350
669.493113,350
668.051017,350
660.465219,350
681.216081,350
666.182981,350
677.959567,350
661.483446,350
677.493574,350
694.714784,350
682.571279,350
672.534689,350
706.171689,350
673.742691,350
658.392518,350
666.597090,350
661.323793,350
680.926648,350
660.132443,350
691.645329,350
660.709145,350
663.207707,350
665.473479,350
680.496798,350
672.105226,350
688.423581,350
667.577718,350
673.142022,350
693.970350,350
671.326516,350
679.520273,350
673.920507,350
670.258117,350
668.313068,350
682.085970,350
673.592441,350
689.012079,350
662.416425,350
673.763084,350
672.569870,350
686.855337,350
700.612670,350
661.135797,350
677.986791,350
684.290850,350
668.663771,350
673.332031,350
681.543832,350
681.961076,350
679.110443,350
665.465054,350
665.415924,350
663.924194,350
670.922411,350
679.880175,350
673.221009,350
661.096748,350
682.583566,350
681.768534,350
675.338911,350
722.080535,350
673.667421,350
657.108582,350
667.148040,350
677.818847,350
657.835428,350
683.587714,350
655.047725,350
673.057662,350
675.962796,350
676.036824,350
683.097809,350
676.212120,350
683.459756,350
677.756101,350
674.406004,350
670.026053,350
684.352813,350
662.866339,350
663.674368,350
675.534090,350
682.298737,350
691.956274,350
674.840684,350
685.241072,350
716.495073,350
695.126020,350
686.808344,350
696.413390,350
672.764393,350
685.467542,350
681.865735,350
682.784660,350
675.148220,350
676.301783,350
677.883243,350
678.661555,350
677.827174,350
683.116125,350
668.857745,350
690.721640,350
667.497416,350
659.949475,350
685.355246,350
668.926692,350
669.441597,350
672.830949,350
663.757193,350
698.746894,350
670.981058,350
668.988343,350
669.139765,350
668.747941,350
672.976733,350
675.178650,350
678.502527,350
673.755154,350
658.517670,350
677.500668,350
660.316862,350
679.669227,350
669.703339,350
685.731259,350
674.521444,350
688.540796,350
651.486920,350
674.935764,350
657.833825,350
671.364008,350
682.021988,350
682.430926,350
666.952214,350
666.597583,350
672.921586,350
662.780493,350
675.870148,350
682.804807,350
670.759764,350
667.474393,350
672.203441,350
670.144735,350
695.787960,350
670.485856,350
660.912115,350
674.272677,350
676.329215,350
676.494499,350
668.266445,350
668.713448,350
661.411428,350
669.942313,350
677.407492,350
666.149649,350
676.465187,350
667.344138,350
675.520452,350
670.680334,350
688.002626,350
664.945885,350
687.864473,350
694.081765,350
670.627870,350
698.703747,350
673.780838,350
650.551544,350
669.131256,350
666.803929,350
660.119797,350
679.532203,350
677.314408,350
663.300842,350
670.936110,350
684.185607,350
685.578379,350
672.820457,350
694.389211,350
686.759429,350
664.572691,350
682.290437,350
645.890245,350
687.000209,350
669.841874,350
684.745791,350
666.203724,350
705.014418,350
680.879750,350
663.227226,350
676.169585,350
666.476018,350
677.236062,350
683.805965,350
642.917048,350
662.366542,350
663.513553,350
709.753730,350
673.535811,350
660.871657,350
680.334256,350
685.600442,350
688.876138,350
680.449122,350
664.305773,350
667.875108,350
655.161450,350
659.125141,350
673.009879,350
662.717170,350
667.494978,350
677.998398,350
676.720401,350
681.490296,350
671.248308,350
684.396396,350
705.559693,350
661.885276,350
664.819482,350
686.350005,350
640.269085,350
669.017564,350
701.479235,350
694.204419,350
686.387846,350
676.571078,350
684.109736,350
669.575885,350
664.095625,350
673.868285,350
681.894298,350
678.961978,350
684.266392,350
684.211648,350
674.353846,350
674.101822,350
664.789822,350
663.093043,350
666.487209,350
673.251262,350
656.614733,350
664.564018,350
648.595971,350
671.825687,350
683.678041,350
674.840387,350
680.650197,350
661.323862,350
673.120002,350
678.803680,350
670.177119,350
677.608359,350
664.009180,350
665.698091,350
694.156467,350
660.659407,350
672.843857,350
670.650338,350
684.570463,350
657.802488,350
677.138986,350
671.699381,350
680.374998,350
670.056653,350
669.808023,350
667.824549,350
660.112793,350
672.304355,350
662.823688,350
663.459741,350
687.214822,350
657.184455,350
669.717970,350
