ploss,replica
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000816,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000785,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000384,300
0.000000,300
0.000000,300
0.000000,300
0.002414,300
0.000000,300
0.001176,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.001254,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.006533,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.001555,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.006472,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000392,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.001152,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000384,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000405,300
0.000801,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000402,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.002354,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
