ploss,replica
0.000000,350
0.000000,350
0.007260,350
0.000921,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.001364,350
0.000000,350
0.001846,350
0.000000,350
0.005809,350
0.003325,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.001387,350
0.000459,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.001887,350
0.000000,350
0.002756,350
0.000000,350
0.000000,350
0.000000,350
0.000896,350
0.000000,350
0.000000,350
0.000000,350
0.003147,350
0.000947,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.002782,350
0.000000,350
0.000899,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.010596,350
0.000000,350
0.005467,350
0.000000,350
0.001874,350
0.004106,350
0.000000,350
0.006977,350
0.006664,350
0.000000,350
0.000000,350
0.000922,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000478,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000450,350
0.000000,350
0.000000,350
0.000916,350
0.000880,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.003726,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000444,350
0.000465,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000902,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.002719,350
0.000000,350
0.000934,350
0.000909,350
0.000000,350
0.001416,350
0.000000,350
0.000000,350
0.000000,350
0.001901,350
0.000464,350
0.000468,350
0.002640,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.001838,350
0.000000,350
0.001890,350
0.000000,350
0.000000,350
0.000904,350
0.000000,350
0.000000,350
0.016043,350
0.003586,350
0.000000,350
0.001834,350
0.000000,350
0.000000,350
0.003549,350
0.003364,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.004533,350
0.000000,350
0.001326,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000908,350
0.000000,350
0.001827,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.007178,350
0.000000,350
0.000000,350
0.004560,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.003182,350
0.000000,350
0.007146,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000467,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.017210,350
0.000000,350
0.006551,350
0.001803,350
0.000881,350
0.001829,350
0.000000,350
0.000000,350
0.000000,350
0.001348,350
0.000000,350
0.003635,350
0.000000,350
0.000000,350
0.003111,350
0.000000,350
0.000000,350
0.007951,350
0.000460,350
0.000913,350
0.000000,350
0.000000,350
0.008310,350
0.004596,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.002255,350
0.003180,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.002361,350
0.002344,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.002704,350
0.001375,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.001842,350
0.000000,350
0.000000,350
0.002712,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.005460,350
0.003250,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.001347,350
0.000000,350
0.002768,350
0.000000,350
0.000919,350
0.000000,350
0.000000,350
0.000000,350
0.002828,350
0.000000,350
0.002775,350
0.000000,350
0.000000,350
0.002345,350
0.000922,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.001399,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.001397,350
0.000000,350
0.000458,350
0.001816,350
0.002296,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.004169,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.000000,350
0.002784,350
0.000000,350
0.001370,350
0.000000,350
0.000000,350
