grt,replica
702.730017,400
692.241572,400
689.331136,400
704.465728,400
683.823672,400
656.434200,400
681.597216,400
701.926683,400
709.495365,400
689.093686,400
715.758094,400
683.414935,400
680.013000,400
677.740781,400
704.153048,400
675.797515,400
679.301837,400
665.511450,400
673.958201,400
686.617643,400
702.414437,400
665.331727,400
688.827042,400
692.784550,400
667.163785,400
667.242586,400
671.932034,400
705.523257,400
688.152421,400
682.188957,400
678.630304,400
709.509957,400
691.973965,400
728.143260,400
662.699889,400
699.578791,400
664.807331,400
658.458818,400
675.646088,400
678.656269,400
675.804212,400
686.292486,400
698.403503,400
683.649841,400
673.394304,400
675.817110,400
701.713815,400
695.458161,400
700.051302,400
691.207546,400
674.252483,400
689.597777,400
678.448471,400
696.865165,400
669.698703,400
707.131380,400
668.924875,400
698.747562,400
706.340552,400
697.290505,400
664.757767,400
681.521513,400
699.234311,400
688.496175,400
700.361221,400
689.241531,400
684.617367,400
697.393068,400
716.940127,400
703.018303,400
668.921665,400
667.339681,400
687.672427,400
684.598390,400
670.172228,400
675.954542,400
682.473722,400
666.819107,400
686.849581,400
680.171335,400
678.065478,400
678.052136,400
686.209277,400
679.943802,400
685.978153,400
700.932498,400
687.764982,400
669.740536,400
702.617550,400
697.606291,400
674.489156,400
708.727614,400
671.307294,400
679.080834,400
717.816947,400
684.911948,400
691.341792,400
687.003418,400
688.529711,400
683.637725,400
685.364511,400
666.013379,400
695.726942,400
665.875604,400
717.754786,400
666.787729,400
674.602253,400
689.984013,400
673.918475,400
712.004427,400
659.752174,400
677.488711,400
690.995373,400
677.898920,400
692.199603,400
681.669577,400
683.700398,400
686.850798,400
661.536779,400
690.038837,400
695.936263,400
684.872289,400
733.655600,400
665.581580,400
677.420142,400
677.121710,400
682.979826,400
690.165065,400
691.090063,400
701.083799,400
705.510235,400
676.473366,400
701.774416,400
676.661781,400
682.625277,400
660.987318,400
680.491347,400
691.502042,400
673.003898,400
691.639967,400
680.284227,400
681.783391,400
676.783021,400
641.395777,400
677.197128,400
655.213282,400
700.480455,400
695.676244,400
707.063521,400
697.960546,400
663.912131,400
681.217484,400
677.960401,400
697.551840,400
686.697485,400
694.518356,400
672.737139,400
695.730378,400
679.518111,400
712.132656,400
704.544870,400
677.592117,400
703.879034,400
667.626251,400
705.112287,400
690.428991,400
689.438435,400
700.513133,400
680.290625,400
697.826722,400
672.935052,400
691.947950,400
695.436542,400
683.525671,400
669.491526,400
681.416854,400
689.229457,400
703.287947,400
668.169331,400
682.112128,400
679.012773,400
678.588711,400
690.534875,400
668.983692,400
713.923185,400
669.150429,400
668.972397,400
662.820619,400
680.646033,400
700.106009,400
690.428331,400
700.621898,400
690.013689,400
679.559969,400
662.844746,400
695.850578,400
682.129505,400
687.937177,400
705.690122,400
689.482669,400
674.417939,400
711.969809,400
681.142894,400
681.073780,400
709.008727,400
685.254666,400
704.454293,400
678.423398,400
681.072539,400
659.307034,400
686.881803,400
687.805426,400
674.472008,400
693.398563,400
686.187931,400
686.840476,400
673.425477,400
703.600435,400
668.609855,400
731.812799,400
689.336247,400
690.154634,400
705.980360,400
681.007739,400
686.923051,400
684.149605,400
682.525066,400
680.838657,400
680.210280,400
656.072344,400
669.655446,400
685.861558,400
708.518313,400
672.683123,400
710.723514,400
653.089497,400
669.275299,400
673.713611,400
679.192193,400
693.372088,400
732.249069,400
670.658844,400
666.576653,400
693.758751,400
679.476342,400
689.302141,400
669.570480,400
690.190938,400
687.628428,400
678.905126,400
670.450608,400
705.301622,400
699.876153,400
674.114397,400
685.071240,400
721.264346,400
681.238601,400
694.512213,400
675.943822,400
680.157583,400
717.783395,400
691.015030,400
729.726143,400
671.696913,400
699.973453,400
708.567490,400
672.811220,400
668.460662,400
683.858185,400
681.498191,400
676.161939,400
742.869502,400
681.166737,400
681.738802,400
653.738328,400
679.921053,400
696.985262,400
683.818971,400
683.137407,400
677.435667,400
659.157509,400
701.440123,400
668.632590,400
687.049545,400
715.921167,400
647.130920,400
691.947903,400
705.805550,400
691.030191,400
679.318454,400
669.184582,400
677.191464,400
680.239809,400
700.778364,400
696.170018,400
697.307020,400
706.363565,400
673.173166,400
656.420510,400
669.950213,400
699.189834,400
683.482630,400
699.801382,400
716.048210,400
739.253182,400
670.689848,400
669.137535,400
725.904948,400
657.928134,400
709.003062,400
697.674517,400
701.463039,400
667.706582,400
707.496714,400
673.701406,400
687.969182,400
713.666379,400
660.119228,400
678.326921,400
698.510221,400
692.523341,400
679.383646,400
756.066100,400
668.160554,400
688.109785,400
677.284498,400
693.675293,400
695.795063,400
680.979300,400
685.104852,400
681.661507,400
685.927388,400
684.267367,400
706.736159,400
681.931356,400
694.155161,400
680.609556,400
704.256684,400
673.697019,400
725.239621,400
703.543346,400
675.712001,400
693.008046,400
689.186327,400
660.834051,400
722.704343,400
671.792650,400
717.054695,400
692.242261,400
696.469706,400
718.214113,400
698.418187,400
660.148529,400
689.832663,400
671.712312,400
684.754807,400
679.794041,400
688.642053,400
698.712096,400
727.356117,400
655.398361,400
681.196173,400
674.486085,400
696.986639,400
680.425089,400
752.405455,400
680.771648,400
670.517405,400
733.237451,400
692.218576,400
678.621293,400
665.727205,400
673.989165,400
704.669343,400
700.099862,400
707.340105,400
700.258729,400
722.965275,400
665.806136,400
710.839403,400
667.052217,400
702.172448,400
681.205737,400
704.058103,400
700.778291,400
677.732128,400
708.378391,400
705.168870,400
693.326599,400
672.419433,400
680.491292,400
656.879612,400
692.820058,400
658.033466,400
709.292335,400
674.915571,400
686.567373,400
688.461171,400
704.068122,400
675.603412,400
