ploss,replica
0.000000,300
0.002284,300
0.000000,300
0.000455,300
0.000000,300
0.000000,300
0.000000,300
0.003996,300
0.014474,300
0.003265,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.004655,300
0.000000,300
0.001815,300
0.000000,300
0.003651,300
0.002219,300
0.000000,300
0.000000,300
0.005109,300
0.007838,300
0.004608,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.002688,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000927,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000938,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.002715,300
0.000000,300
0.000000,300
0.001817,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.001361,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000916,300
0.000000,300
0.000905,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.002255,300
0.000000,300
0.002267,300
0.000000,300
0.002669,300
0.000000,300
0.000000,300
0.000000,300
0.003700,300
0.000000,300
0.000000,300
0.004926,300
0.000000,300
0.000000,300
0.006419,300
0.000000,300
0.000000,300
0.002309,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000458,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.003724,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.005877,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.005615,300
0.000000,300
0.000000,300
0.002269,300
0.000000,300
0.001821,300
0.000000,300
0.000000,300
0.000000,300
0.002291,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.005497,300
0.000000,300
0.000000,300
0.002259,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.004213,300
0.004630,300
0.000000,300
0.000000,300
0.004649,300
0.000000,300
0.000000,300
0.001845,300
0.002322,300
0.000000,300
0.000000,300
0.001345,300
0.000000,300
0.007498,300
0.001806,300
0.000000,300
0.002676,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000461,300
0.000000,300
0.000000,300
0.000000,300
0.001406,300
0.000000,300
0.000000,300
0.000918,300
0.000000,300
0.000000,300
0.001787,300
0.000464,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.001776,300
0.000000,300
0.000000,300
0.000456,300
0.000000,300
0.000000,300
0.000000,300
0.000476,300
0.001406,300
0.000000,300
0.001884,300
0.000000,300
0.007286,300
0.000461,300
0.000000,300
0.000000,300
0.000000,300
0.007784,300
0.000000,300
0.000000,300
0.000448,300
0.000000,300
0.005401,300
0.000000,300
0.001869,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.001362,300
0.000000,300
0.002740,300
0.001323,300
0.000000,300
0.003135,300
0.000000,300
0.002239,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.003383,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000479,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.001372,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
0.000459,300
0.000000,300
0.000000,300
0.004080,300
0.000000,300
0.000000,300
0.000000,300
0.001803,300
0.000000,300
0.000000,300
0.000000,300
0.005437,300
0.000000,300
0.002317,300
0.006769,300
0.000000,300
0.000000,300
0.000923,300
0.000000,300
0.000000,300
0.000000,300
0.007233,300
0.000000,300
0.000000,300
0.000000,300
0.000000,300
