ploss,replica
0.041296,500
0.041212,500
0.027755,500
0.030936,500
0.049497,500
0.059798,500
0.037903,500
0.030204,500
0.053004,500
0.039874,500
0.021924,500
0.042477,500
0.038196,500
0.044008,500
0.029130,500
0.032450,500
0.054660,500
0.034700,500
0.034469,500
0.047110,500
0.038306,500
0.022286,500
0.046788,500
0.014748,500
0.036000,500
0.032220,500
0.029911,500
0.044480,500
0.060654,500
0.027992,500
0.030204,500
0.024237,500
0.045008,500
0.050573,500
0.041717,500
0.043793,500
0.022367,500
0.051292,500
0.055422,500
0.044882,500
0.052800,500
0.025801,500
0.033926,500
0.030721,500
0.043232,500
0.026602,500
0.029353,500
0.021942,500
0.043062,500
0.048323,500
0.032219,500
0.045710,500
0.041618,500
0.048040,500
0.026033,500
0.028434,500
0.046334,500
0.059653,500
0.027534,500
0.039782,500
0.044294,500
0.038661,500
0.037773,500
0.027183,500
0.019672,500
0.046245,500
0.043215,500
0.036885,500
0.042816,500
0.034990,500
0.015873,500
0.031973,500
0.032680,500
0.074961,500
0.050529,500
0.041532,500
0.031097,500
0.041765,500
0.042903,500
0.030566,500
0.050485,500
0.056962,500
0.040584,500
0.051032,500
0.039442,500
0.031078,500
0.038717,500
0.040161,500
0.044135,500
0.051262,500
0.041090,500
0.013883,500
0.038602,500
0.049107,500
0.032868,500
0.037127,500
0.029703,500
0.028231,500
0.037576,500
0.036960,500
0.031225,500
0.040380,500
0.039872,500
0.039053,500
0.031630,500
0.026144,500
0.029412,500
0.027789,500
0.062696,500
0.053457,500
0.066031,500
0.042130,500
0.047174,500
0.042220,500
0.065442,500
0.033065,500
0.017523,500
0.029600,500
0.043529,500
0.048741,500
0.019544,500
0.040456,500
0.028003,500
0.046412,500
0.043222,500
0.084043,500
0.038769,500
0.064057,500
0.045982,500
0.024896,500
0.037222,500
0.036576,500
0.053721,500
0.043705,500
0.039620,500
0.046172,500
0.052487,500
0.056596,500
0.017609,500
0.050440,500
0.032507,500
0.036312,500
0.035583,500
0.074319,500
0.021739,500
0.057200,500
0.035214,500
0.015736,500
0.040557,500
0.020833,500
0.050453,500
0.064337,500
0.010438,500
0.020441,500
0.028830,500
0.022956,500
0.050357,500
0.044913,500
0.061120,500
0.047120,500
0.051530,500
0.050814,500
0.044890,500
0.035729,500
0.037215,500
0.056071,500
0.029925,500
0.034008,500
0.034776,500
0.041401,500
0.024155,500
0.015964,500
0.039335,500
0.036719,500
0.055035,500
0.027888,500
0.060385,500
0.025196,500
0.023800,500
0.040412,500
0.055814,500
0.049861,500
0.050081,500
0.029313,500
0.033428,500
0.030084,500
0.034036,500
0.036032,500
0.045491,500
0.033483,500
0.062016,500
0.049239,500
0.042654,500
0.032205,500
0.046512,500
0.056796,500
0.050542,500
0.035995,500
0.046130,500
0.045864,500
0.040221,500
0.055425,500
0.039137,500
0.043707,500
0.062550,500
0.037158,500
0.033939,500
0.061563,500
0.032407,500
0.026704,500
0.045240,500
0.027359,500
0.032116,500
0.046699,500
0.055599,500
0.035130,500
0.040392,500
0.035758,500
0.028677,500
0.037625,500
0.036842,500
0.061448,500
0.040064,500
0.030060,500
0.037570,500
0.044391,500
0.041634,500
0.025259,500
0.052590,500
0.027353,500
0.065673,500
0.028922,500
0.077833,500
0.055422,500
0.053217,500
0.040997,500
0.032989,500
0.062064,500
0.064981,500
0.043131,500
0.021597,500
0.030522,500
0.040897,500
0.041980,500
0.042964,500
0.026800,500
0.035052,500
0.051456,500
0.036025,500
0.038122,500
0.040342,500
0.051411,500
0.053063,500
0.032023,500
0.045726,500
0.037319,500
0.038702,500
0.059054,500
0.042688,500
0.027135,500
0.053280,500
0.026829,500
0.030045,500
0.011166,500
0.037582,500
0.025301,500
0.028687,500
0.064349,500
0.083431,500
0.048160,500
0.060832,500
0.032494,500
0.059677,500
0.044427,500
0.039968,500
0.036226,500
0.031288,500
0.021669,500
0.045787,500
0.034757,500
0.025610,500
0.032010,500
0.052030,500
0.058340,500
0.033838,500
0.082013,500
0.031186,500
0.029460,500
0.011866,500
0.032733,500
0.051400,500
0.010761,500
0.012847,500
0.045705,500
0.044188,500
0.049383,500
0.035327,500
0.013333,500
0.052838,500
0.031613,500
0.038971,500
0.031082,500
0.030069,500
0.060729,500
0.047984,500
0.034314,500
0.049089,500
0.037913,500
0.042366,500
0.016942,500
0.043299,500
0.036458,500
0.051152,500
0.033279,500
0.043307,500
0.026797,500
0.026349,500
0.039887,500
0.037145,500
0.042417,500
0.024760,500
0.036664,500
0.046521,500
0.047414,500
0.035586,500
0.028890,500
0.049839,500
0.055891,500
0.029448,500
0.046166,500
0.041129,500
0.021294,500
0.030414,500
0.057831,500
0.020400,500
0.037674,500
0.057325,500
0.024950,500
0.018489,500
0.048957,500
0.052508,500
0.034510,500
0.040255,500
0.021571,500
0.032258,500
0.031605,500
0.033110,500
0.026972,500
0.042738,500
0.038491,500
0.049128,500
0.037781,500
0.044578,500
0.037307,500
0.058896,500
0.041552,500
0.047468,500
0.043087,500
0.063963,500
0.034733,500
0.042835,500
0.034996,500
0.036768,500
0.056957,500
0.044212,500
0.017125,500
0.037292,500
0.065593,500
0.051473,500
0.037319,500
0.057730,500
0.037022,500
0.046575,500
0.054516,500
0.020926,500
0.017157,500
0.039452,500
0.025190,500
0.061617,500
0.051791,500
0.056253,500
0.026048,500
0.045365,500
0.053945,500
0.037751,500
0.048838,500
0.046812,500
0.051282,500
0.040783,500
0.032887,500
0.051751,500
0.015847,500
0.050847,500
0.045999,500
0.059618,500
0.026144,500
0.036173,500
0.021338,500
0.071707,500
0.049861,500
0.065068,500
