grt,replica
676.887482,300
661.937564,300
666.137424,300
670.531847,300
694.521865,300
671.796576,300
693.373851,300
668.908065,300
670.963387,300
698.837671,300
682.178605,300
685.788157,300
687.779004,300
702.024657,300
701.744780,300
684.422098,300
671.818330,300
696.249237,300
680.151869,300
715.042398,300
688.917248,300
669.246692,300
696.541594,300
721.141130,300
692.501728,300
678.566936,300
666.262620,300
679.394428,300
666.546375,300
686.543032,300
674.875507,300
709.735850,300
670.863448,300
686.985555,300
722.176027,300
672.051375,300
725.472043,300
664.721378,300
668.194552,300
683.686505,300
686.911162,300
668.593620,300
668.916259,300
661.418515,300
702.116686,300
668.842022,300
718.876167,300
683.056993,300
686.930271,300
669.243380,300
690.826995,300
696.125949,300
680.565992,300
687.789394,300
696.011551,300
700.981183,300
694.579907,300
662.722280,300
700.565877,300
668.169747,300
679.657543,300
656.907753,300
717.359559,300
681.530921,300
664.765152,300
685.886841,300
661.064192,300
665.590995,300
682.596819,300
657.294128,300
666.077044,300
687.207580,300
665.496607,300
691.977878,300
691.612314,300
671.806985,300
670.844515,300
706.916633,300
701.531112,300
728.574853,300
719.608085,300
660.862607,300
704.518896,300
681.554647,300
697.540493,300
695.515972,300
707.872422,300
686.053034,300
690.415870,300
676.089271,300
690.694733,300
677.512303,300
689.777206,300
670.356291,300
688.102774,300
697.911098,300
667.801474,300
667.289214,300
700.405528,300
657.177833,300
670.700119,300
676.133013,300
715.384885,300
714.150028,300
667.302897,300
663.394767,300
689.943680,300
672.638438,300
674.131612,300
693.228793,300
695.854099,300
695.857727,300
680.479412,300
712.417308,300
706.110698,300
694.335285,300
704.422004,300
691.283265,300
690.612853,300
687.107731,300
672.916598,300
662.657106,300
663.293947,300
691.462027,300
690.426964,300
666.509731,300
668.599954,300
694.469387,300
662.475546,300
645.580934,300
676.502964,300
706.819823,300
709.295982,300
673.581110,300
703.394476,300
688.963344,300
712.723925,300
687.360489,300
694.249861,300
685.872745,300
668.459729,300
701.365426,300
687.075127,300
679.926336,300
677.722848,300
713.034899,300
707.893244,300
664.182596,300
688.307464,300
662.374619,300
699.662336,300
687.348565,300
682.802751,300
696.389075,300
686.950530,300
667.396222,300
721.351333,300
687.185172,300
686.032113,300
661.069967,300
690.905502,300
717.553303,300
652.712148,300
653.881210,300
672.664925,300
674.908869,300
694.648816,300
680.554438,300
708.982478,300
693.863103,300
693.070926,300
680.697052,300
665.203640,300
685.745691,300
687.875032,300
706.179744,300
695.423403,300
680.407794,300
671.311383,300
671.709605,300
696.132596,300
703.904745,300
671.276943,300
695.907010,300
696.608657,300
673.631018,300
677.506366,300
659.966276,300
676.382143,300
689.764718,300
695.194319,300
684.286741,300
713.168762,300
689.937348,300
684.409800,300
689.553259,300
665.268285,300
677.404237,300
697.792100,300
677.494375,300
710.966178,300
679.057777,300
698.011004,300
678.931802,300
692.081226,300
710.686644,300
704.676274,300
668.498410,300
721.358331,300
678.934223,300
690.452321,300
690.391628,300
707.460008,300
692.458672,300
691.373104,300
675.077955,300
693.988680,300
695.561303,300
694.889433,300
674.389897,300
710.379674,300
697.427063,300
690.607343,300
688.136173,300
679.144576,300
693.749421,300
673.041570,300
668.191648,300
681.076903,300
677.692931,300
710.347366,300
717.597924,300
708.553471,300
665.624841,300
685.133661,300
712.742046,300
707.721907,300
680.112193,300
670.235020,300
676.380594,300
664.467091,300
689.354386,300
681.502982,300
693.079646,300
711.225868,300
678.862117,300
705.128672,300
684.404813,300
667.255530,300
673.406745,300
684.534385,300
686.272453,300
674.691019,300
679.702156,300
692.148762,300
676.472431,300
684.636559,300
692.644748,300
689.222243,300
710.335353,300
669.214302,300
675.109603,300
690.058584,300
681.198637,300
728.717041,300
675.800599,300
682.696581,300
680.360093,300
683.206962,300
691.057457,300
706.503612,300
688.777628,300
696.606048,300
687.980459,300
649.881010,300
677.322206,300
689.041657,300
720.668639,300
683.151958,300
702.635803,300
704.849589,300
682.664652,300
692.239342,300
683.700381,300
676.380074,300
680.307010,300
692.626411,300
685.337964,300
662.422969,300
669.280789,300
683.118107,300
733.789339,300
682.183764,300
684.779904,300
707.618571,300
677.995508,300
691.114755,300
686.215358,300
713.532821,300
708.129026,300
