grt,replica
693.984391,500
699.642034,500
687.881497,500
679.828464,500
684.702222,500
696.720707,500
692.213513,500
692.812640,500
672.524154,500
684.129825,500
685.553836,500
683.524531,500
681.439997,500
702.870029,500
683.215834,500
687.514226,500
693.071315,500
676.140138,500
680.004177,500
684.653397,500
684.094627,500
679.285856,500
681.914523,500
691.577693,500
686.119679,500
688.186737,500
684.596456,500
695.532648,500
686.987188,500
692.627524,500
686.989999,500
687.270226,500
690.839660,500
692.644650,500
691.906214,500
672.106927,500
695.989827,500
688.445107,500
686.324146,500
676.884011,500
691.568897,500
694.661627,500
679.052438,500
697.414991,500
695.619202,500
694.949648,500
682.970795,500
694.860479,500
694.459501,500
693.428034,500
704.483922,500
682.181900,500
698.586140,500
693.543471,500
690.013535,500
684.158986,500
685.843605,500
684.052594,500
684.961234,500
686.101612,500
674.694545,500
678.389692,500
685.174798,500
682.156353,500
693.589861,500
690.300482,500
687.400615,500
693.027360,500
680.767807,500
685.846435,500
682.160731,500
691.862268,500
681.325927,500
703.649096,500
688.884258,500
679.834106,500
691.542966,500
686.546448,500
684.641669,500
679.997619,500
690.998645,500
685.062592,500
697.928069,500
683.489921,500
685.393470,500
673.264074,500
679.725289,500
678.071576,500
691.687261,500
683.785267,500
673.769240,500
680.501295,500
692.316299,500
683.029008,500
686.662861,500
682.456164,500
697.904942,500
693.024117,500
709.275317,500
684.908860,500
676.756291,500
687.164500,500
691.111796,500
695.030068,500
684.214067,500
692.736827,500
691.250076,500
692.347971,500
686.225449,500
683.660147,500
682.145739,500
698.424315,500
692.127616,500
698.517523,500
684.936749,500
706.761568,500
689.438833,500
695.558020,500
703.697261,500
683.667518,500
694.406697,500
683.806832,500
678.313800,500
697.178813,500
691.176802,500
685.766692,500
692.400908,500
690.958505,500
690.804308,500
681.969712,500
687.231164,500
689.415899,500
687.170080,500
687.571539,500
698.721518,500
691.314493,500
690.314201,500
691.151573,500
695.029162,500
682.932777,500
688.966790,500
686.511337,500
678.080438,500
685.855400,500
695.648025,500
694.658702,500
697.865544,500
675.581185,500
679.436636,500
689.387700,500
674.801914,500
696.385727,500
701.460500,500
687.978708,500
674.654155,500
687.095127,500
696.265524,500
684.241026,500
690.401455,500
675.973670,500
692.534271,500
693.788212,500
685.795635,500
692.238626,500
692.074309,500
680.532383,500
679.021593,500
685.750971,500
681.427762,500
691.299600,500
682.790983,500
687.032609,500
683.106192,500
686.620877,500
690.685979,500
679.290316,500
675.837306,500
689.791875,500
691.611861,500
684.616120,500
704.945258,500
682.534514,500
696.907348,500
683.397646,500
682.113384,500
677.739036,500
694.383635,500
689.687265,500
688.147685,500
684.657453,500
686.078156,500
680.809280,500
688.938003,500
683.798406,500
685.816386,500
680.734821,500
686.583365,500
690.005507,500
688.512977,500
689.542877,500
683.921198,500
678.961176,500
691.066412,500
693.430403,500
677.190028,500
691.672978,500
684.014285,500
681.567848,500
688.906788,500
691.315362,500
689.150332,500
684.974962,500
682.180360,500
682.731692,500
680.483853,500
684.129788,500
697.673608,500
685.738803,500
682.036449,500
698.042942,500
703.779915,500
692.469196,500
693.204718,500
683.046028,500
691.862574,500
689.362189,500
688.960393,500
691.070973,500
682.329515,500
696.538438,500
690.142207,500
688.687651,500
681.514791,500
682.948587,500
683.080331,500
687.422105,500
687.898081,500
681.147141,500
685.253760,500
677.000259,500
690.859210,500
678.719417,500
688.479003,500
688.177698,500
690.089086,500
680.838138,500
683.776095,500
685.665315,500
691.460864,500
689.277572,500
686.360834,500
683.059651,500
687.907245,500
682.760528,500
688.675420,500
694.148743,500
683.829427,500
693.470967,500
691.627911,500
688.231854,500
690.298069,500
698.939328,500
681.661591,500
678.009708,500
680.953011,500
689.451418,500
685.405858,500
685.265253,500
688.830490,500
691.017943,500
691.751869,500
681.503609,500
684.805549,500
689.600483,500
690.698848,500
681.880535,500
693.190437,500
677.302455,500
698.341743,500
691.444172,500
688.336237,500
679.103146,500
688.499796,500
687.371679,500
685.179608,500
688.405322,500
697.418086,500
697.756516,500
679.736000,500
695.389552,500
684.949683,500
685.584546,500
696.933779,500
692.531123,500
692.703443,500
680.524484,500
686.555851,500
702.157314,500
676.796557,500
687.176335,500
699.710210,500
690.228890,500
680.525381,500
690.395593,500
690.418504,500
683.101078,500
677.324921,500
693.457902,500
698.500035,500
687.183657,500
676.327974,500
678.012911,500
687.541537,500
693.289066,500
692.768345,500
688.117648,500
685.876311,500
688.987025,500
684.529330,500
676.772817,500
679.887035,500
689.872987,500
698.757857,500
684.257096,500
696.656297,500
684.792691,500
686.072541,500
678.345663,500
686.355712,500
687.256487,500
686.238153,500
682.880024,500
698.478861,500
683.067022,500
674.320759,500
687.805392,500
689.052141,500
674.252118,500
680.734320,500
692.089674,500
689.901824,500
687.546100,500
680.785292,500
688.236285,500
677.662392,500
692.113049,500
683.177050,500
689.541347,500
692.813961,500
685.144074,500
686.176470,500
683.896942,500
692.526945,500
698.988031,500
687.447192,500
681.548956,500
686.611289,500
690.322179,500
686.985978,500
694.365294,500
681.829886,500
690.945645,500
681.620443,500
690.961702,500
689.580251,500
688.145038,500
681.222074,500
683.133244,500
692.547829,500
693.174938,500
684.224355,500
681.571844,500
685.099923,500
688.950876,500
692.458608,500
689.226647,500
684.991548,500
680.105796,500
683.536326,500
685.899663,500
680.513364,500
681.176359,500
690.286575,500
687.970641,500
692.306716,500
686.247076,500
700.061967,500
698.056113,500
685.127769,500
696.637155,500
692.322274,500
684.356149,500
680.978329,500
692.787848,500
689.903880,500
688.127920,500
698.612695,500
686.430693,500
688.634222,500
686.595042,500
691.081383,500
694.030474,500
681.579546,500
694.825265,500
692.063642,500
687.744169,500
696.438898,500
683.707046,500
693.277572,500
683.700378,500
687.437617,500
685.248762,500
674.037017,500
689.630108,500
691.462491,500
701.649155,500
682.454749,500
676.658180,500
690.688691,500
704.955435,500
690.655589,500
689.309377,500
687.664803,500
692.815820,500
676.350484,500
684.918989,500
684.785871,500
686.296954,500
694.613198,500
688.335873,500
689.242895,500
679.457422,500
691.375860,500
695.594421,500
690.511034,500
702.256516,500
688.127829,500
695.472470,500
682.308301,500
680.899670,500
685.850080,500
674.747067,500
695.335189,500
686.316670,500
680.051530,500
689.892308,500
688.679212,500
693.218424,500
683.749829,500
