ploss,replica
0.050093,450
0.044328,450
0.064112,450
0.053016,450
0.074660,450
0.045202,450
0.061970,450
0.031571,450
0.054261,450
0.047619,450
0.032596,450
0.072443,450
0.048807,450
0.095000,450
0.064230,450
0.058845,450
0.048681,450
0.067352,450
0.061489,450
0.041418,450
0.035485,450
0.076250,450
0.067958,450
0.055157,450
0.056328,450
0.059156,450
0.079900,450
0.044231,450
0.062986,450
0.019327,450
0.062921,450
0.047386,450
0.049442,450
0.074880,450
0.071854,450
0.053578,450
0.031227,450
0.042285,450
0.046045,450
0.026512,450
0.085909,450
0.032305,450
0.066986,450
0.077750,450
0.036377,450
0.051001,450
0.080757,450
0.038316,450
0.046486,450
0.057420,450
0.038433,450
0.051092,450
0.065403,450
0.032548,450
0.074210,450
0.096902,450
0.061636,450
0.049593,450
0.059341,450
0.027964,450
0.051627,450
0.027778,450
0.038290,450
0.030620,450
0.045042,450
0.054424,450
0.042322,450
0.034535,450
0.061459,450
0.036277,450
0.043526,450
0.056245,450
0.040449,450
0.060413,450
0.032186,450
0.060073,450
0.046736,450
0.037137,450
0.063869,450
0.042970,450
0.045574,450
0.047849,450
0.073835,450
0.048919,450
0.041225,450
0.048862,450
0.054485,450
0.074594,450
0.071324,450
0.053140,450
0.062201,450
0.038110,450
0.065194,450
0.073351,450
0.064009,450
0.061187,450
0.043850,450
0.044765,450
0.055678,450
0.086328,450
0.026646,450
0.051673,450
0.035259,450
0.053591,450
0.068305,450
0.014706,450
0.064422,450
0.022147,450
0.060023,450
0.061651,450
0.030862,450
0.058437,450
0.057592,450
0.054114,450
0.027902,450
0.040885,450
0.063988,450
0.044978,450
0.052266,450
0.064177,450
0.053308,450
0.037799,450
0.060170,450
0.064660,450
0.049643,450
0.032186,450
0.038932,450
0.069490,450
0.063626,450
0.047028,450
0.039801,450
0.040592,450
0.035456,450
0.059963,450
0.066247,450
0.059663,450
0.020106,450
0.048166,450
0.034663,450
0.043850,450
0.081181,450
0.047891,450
0.054258,450
0.065634,450
0.032682,450
0.081450,450
0.046921,450
0.036787,450
0.037951,450
0.069325,450
0.067269,450
0.036612,450
0.063569,450
0.052336,450
0.066300,450
0.074649,450
0.031794,450
0.036996,450
0.055072,450
0.045471,450
0.068503,450
0.067778,450
0.028668,450
0.044543,450
0.066982,450
0.078757,450
0.063204,450
0.079353,450
0.043050,450
0.052852,450
0.055472,450
0.034746,450
0.047101,450
0.028582,450
0.065193,450
0.050132,450
0.073707,450
0.076810,450
0.066816,450
0.073071,450
0.031084,450
0.067178,450
0.028969,450
0.054004,450
0.073524,450
0.067691,450
0.043960,450
0.065954,450
0.051471,450
0.045251,450
0.036745,450
0.076235,450
0.034014,450
0.061719,450
0.031828,450
0.071945,450
0.074896,450
0.044754,450
0.050238,450
0.043184,450
0.086433,450
0.052862,450
0.056964,450
0.072259,450
0.057949,450
0.066570,450
0.033133,450
0.047656,450
0.034697,450
0.061970,450
0.043107,450
0.072222,450
0.052341,450
0.047691,450
0.057879,450
0.033183,450
0.051207,450
0.041387,450
0.078669,450
0.062362,450
0.040916,450
0.051599,450
0.083364,450
0.045096,450
0.030775,450
0.047317,450
0.051674,450
0.042435,450
0.045749,450
0.042442,450
0.073063,450
0.064655,450
0.048664,450
0.042947,450
0.052225,450
0.027778,450
0.070188,450
0.068652,450
0.078598,450
0.049904,450
0.047359,450
0.032308,450
0.037588,450
0.049527,450
0.066919,450
0.059237,450
0.068953,450
0.041745,450
0.042841,450
0.063929,450
0.048555,450
0.053650,450
0.030510,450
0.060014,450
0.064407,450
0.035490,450
0.042789,450
0.081252,450
0.062130,450
0.077908,450
0.059061,450
0.056333,450
0.031567,450
0.062103,450
0.038666,450
0.071403,450
0.041699,450
0.052360,450
0.044339,450
0.040465,450
0.054324,450
0.046367,450
0.053812,450
0.059554,450
0.061779,450
0.052553,450
0.061634,450
0.063451,450
0.083989,450
0.059783,450
0.055286,450
0.039747,450
0.052091,450
0.091913,450
0.057656,450
0.048113,450
0.042264,450
0.044906,450
0.052750,450
0.080622,450
0.043593,450
0.042140,450
0.056446,450
0.064283,450
0.034208,450
0.030395,450
0.049457,450
0.045105,450
0.060847,450
0.049314,450
0.041429,450
0.040576,450
0.054116,450
0.023874,450
0.046674,450
0.036940,450
0.046434,450
0.057955,450
0.032867,450
0.054957,450
0.052247,450
0.046165,450
0.028550,450
0.056099,450
0.054774,450
0.041948,450
0.027252,450
0.020265,450
