grt,replica
685.340883,100
685.788634,100
689.551340,100
689.924386,100
682.013749,100
692.027598,100
663.749547,100
700.376446,100
678.921880,100
674.520986,100
687.459495,100
706.637056,100
668.884289,100
661.648913,100
688.102821,100
673.581453,100
680.346126,100
701.973796,100
684.209623,100
679.627991,100
675.338183,100
710.665668,100
694.034927,100
681.479645,100
698.148895,100
697.013388,100
673.272168,100
686.771691,100
671.572910,100
687.724905,100
660.396690,100
666.541715,100
665.482672,100
683.334142,100
693.176195,100
704.305086,100
695.251767,100
702.581366,100
675.124730,100
689.942676,100
697.369880,100
683.740922,100
686.038431,100
722.738701,100
686.726997,100
706.795975,100
695.517112,100
676.806515,100
658.937557,100
641.586984,100
702.174570,100
667.000966,100
643.133124,100
655.202070,100
675.571129,100
677.533411,100
700.646265,100
688.054174,100
676.913515,100
693.963254,100
695.044362,100
675.166412,100
669.435934,100
698.596035,100
665.852377,100
681.828563,100
672.622205,100
673.288117,100
676.029566,100
721.057159,100
686.183823,100
685.881896,100
683.307324,100
687.882492,100
677.962011,100
670.003038,100
655.477403,100
672.053819,100
691.275441,100
675.036398,100
678.597027,100
703.457496,100
669.309669,100
690.276456,100
698.638762,100
670.955995,100
693.600134,100
677.387558,100
685.111425,100
696.409122,100
680.235020,100
664.195337,100
688.583525,100
692.240664,100
710.595905,100
684.571029,100
693.577817,100
697.869990,100
671.857420,100
703.721447,100
