grt,batch_index
687.427627,1
654.119052,2
705.188784,3
680.341626,4
669.211851,5
691.449874,6
696.807132,7
695.033382,8
621.380852,9
700.391885,10
647.509076,11
655.066319,12
654.789339,13
719.780667,14
596.368008,15
700.982285,16
680.367925,17
651.062184,18
648.188870,19
706.668528,20
715.169450,21
620.571385,22
614.711608,23
690.884042,24
630.118738,25
638.740636,26
691.742417,27
619.700145,28
681.271077,29
700.571048,30
672.494751,31
704.665212,32
656.223964,33
624.434383,34
674.073893,35
662.707101,36
677.668022,37
649.124508,38
637.757395,39
668.553176,40
648.325634,41
685.773023,42
735.617466,43
673.745614,44
659.811375,45
667.327227,46
650.680306,47
618.806658,48
683.106890,49
730.672950,50
667.075411,51
640.049921,52
636.495767,53
701.823999,54
661.001071,55
666.417847,56
734.790664,57
668.641201,58
701.793476,59
614.383835,60
650.990325,61
673.145550,62
684.248282,63
702.291424,64
654.585023,65
626.268631,66
666.593968,67
660.496103,68
645.672472,69
680.288354,70
669.122038,71
679.401170,72
639.888367,73
681.153611,74
665.690172,75
663.358975,76
641.004733,77
658.197754,78
662.188423,79
674.501788,80
701.132401,81
667.044825,82
641.216952,83
667.856257,84
653.962356,85
676.040096,86
672.207027,87
692.256187,88
676.052730,89
665.309970,90
643.294343,91
617.265623,92
662.857231,93
711.965060,94
646.625474,95
654.289313,96
687.950161,97
738.576721,98
678.119696,99
697.987294,100
699.418312,101
695.718637,102
621.381332,103
588.956733,104
679.105871,105
667.215988,106
637.804262,107
654.653753,108
641.071770,109
648.268846,110
683.527332,111
710.699533,112
725.506019,113
599.955264,114
680.114939,115
647.728395,116
656.753402,117
663.294604,118
605.704618,119
667.036806,120
702.208209,121
651.584255,122
624.055914,123
700.038454,124
680.407271,125
670.394580,126
730.852752,127
619.316568,128
715.626778,129
660.189121,130
672.209996,131
610.517065,132
650.876628,133
637.363810,134
661.693104,135
673.259461,136
662.074083,137
634.557649,138
664.299562,139
648.386232,140
765.897610,141
653.520032,142
635.266204,143
606.206808,144
664.191745,145
659.354943,146
742.285866,147
746.579329,148
670.413822,149
646.678135,150
656.370426,151
680.168559,152
676.647977,153
621.557184,154
660.924292,155
682.310736,156
659.739439,157
667.146955,158
651.786968,159
633.665531,160
686.209805,161
674.456061,162
650.004299,163
651.197527,164
686.327184,165
629.612833,166
612.137245,167
661.912974,168
623.823011,169
669.906568,170
660.652072,171
631.009481,172
691.008596,173
654.368492,174
627.389763,175
646.188243,176
660.469574,177
683.214634,178
716.020278,179
633.032359,180
661.231340,181
613.630984,182
725.635540,183
664.129184,184
601.336597,185
661.639647,186
639.725973,187
688.613160,188
724.271445,189
663.919788,190
690.415633,191
616.643700,192
622.559333,193
650.358645,194
700.696198,195
687.180190,196
703.031638,197
621.424023,198
618.638074,199
680.480936,200
593.703580,201
737.790660,202
635.099982,203
657.603760,204
742.530583,205
762.261914,206
629.545428,207
671.093887,208
691.305874,209
674.770900,210
725.684068,211
700.965490,212
666.881359,213
651.627925,214
685.785172,215
670.413073,216
655.015996,217
639.636663,218
684.103060,219
690.090823,220
681.633585,221
685.207932,222
684.878953,223
622.186523,224
678.836107,225
676.935194,226
663.036811,227
641.676125,228
653.200332,229
629.678780,230
680.923448,231
662.191461,232
656.968141,233
724.425237,234
690.428202,235
687.484165,236
585.367955,237
656.744607,238
709.694450,239
711.872284,240
692.670513,241
692.613071,242
727.472997,243
661.778096,244
719.152063,245
628.289050,246
644.643065,247
707.922568,248
689.333350,249
648.429540,250
641.187756,251
699.003062,252
663.057265,253
666.477382,254
696.203984,255
718.923046,256
772.454226,257
619.428444,258
675.652156,259
715.093931,260
716.110456,261
707.598220,262
674.084877,263
660.686478,264
665.160602,265
643.366665,266
675.972435,267
789.739045,268
713.452117,269
674.931520,270
685.020629,271
739.224341,272
688.365289,273
646.484951,274
671.370874,275
598.104346,276
705.699673,277
676.806641,278
674.763909,279
637.664522,280
638.435872,281
651.332748,282
656.232201,283
654.584263,284
677.438014,285
707.740812,286
693.476319,287
681.925111,288
683.740518,289
699.437401,290
714.714510,291
650.207939,292
699.453142,293
649.324148,294
660.208385,295
721.229780,296
663.143669,297
705.919130,298
678.112803,299
682.443697,300
