grt,batch
674.482598,1
693.209396,2
684.293944,3
678.652452,4
706.808659,5
685.072912,6
668.305438,7
693.947106,8
708.946642,9
665.378594,10
692.472596,11
698.935472,12
676.750608,13
702.600243,14
652.254838,15
713.504632,16
700.755620,17
674.947774,18
733.703866,19
714.018781,20
693.978971,21
735.108805,22
725.486753,23
688.689015,24
677.203097,25
652.212971,26
668.530797,27
712.134364,28
703.218352,29
687.581974,30
707.235942,31
650.389239,32
680.094433,33
723.350723,34
678.084613,35
679.198410,36
721.973337,37
722.144408,38
693.998705,39
696.163085,40
701.690599,41
679.133494,42
689.840764,43
705.271989,44
692.823266,45
672.621397,46
691.506515,47
694.385894,48
688.682311,49
677.589882,50
702.377631,51
687.063927,52
682.395994,53
712.022618,54
709.356310,55
671.792727,56
689.574509,57
696.772783,58
695.889674,59
697.097265,60
696.482895,61
699.540219,62
677.846307,63
680.777115,64
662.432598,65
705.894888,66
672.789491,67
652.039769,68
699.321189,69
690.479548,70
692.322119,71
706.963433,72
780.343810,73
682.632057,74
725.097395,75
710.499442,76
695.243405,77
709.780032,78
676.789749,79
698.029567,80
694.685296,81
687.796502,82
695.733805,83
728.568771,84
674.169326,85
651.936450,86
700.987926,87
698.163389,88
683.620366,89
726.701603,90
700.724749,91
685.381247,92
679.272017,93
680.392620,94
707.289452,95
658.838722,96
671.992580,97
672.718612,98
684.218773,99
682.585506,100
706.779318,101
699.124749,102
722.914583,103
678.414101,104
670.807878,105
694.214505,106
694.627132,107
672.755527,108
710.568811,109
706.833412,110
673.123265,111
667.993298,112
687.422765,113
699.676555,114
706.472797,115
677.769856,116
708.605989,117
677.669261,118
688.487734,119
683.162064,120
671.315256,121
694.781941,122
657.666933,123
661.977731,124
718.478838,125
672.424622,126
696.773056,127
735.487071,128
703.799200,129
662.435089,130
678.116222,131
700.638260,132
666.783037,133
691.786087,134
673.496100,135
690.376812,136
665.584449,137
707.816091,138
720.174677,139
712.795405,140
696.280895,141
699.942365,142
698.971704,143
691.585299,144
684.467943,145
661.507458,146
687.941307,147
681.494973,148
652.579372,149
689.739979,150
680.438388,151
693.350617,152
693.701038,153
700.029946,154
714.374897,155
675.063071,156
674.430584,157
678.655174,158
672.498413,159
696.480320,160
668.782092,161
680.840448,162
683.009892,163
715.524772,164
688.333998,165
698.059532,166
685.709941,167
671.446425,168
687.910255,169
678.832375,170
674.844615,171
706.929324,172
711.703918,173
672.556497,174
675.830803,175
696.293809,176
712.166023,177
671.342747,178
680.336596,179
677.434306,180
672.990221,181
677.975893,182
651.349207,183
671.060672,184
679.396262,185
696.550239,186
681.842715,187
707.212104,188
698.739042,189
681.433917,190
667.665046,191
683.503722,192
673.512203,193
687.467684,194
724.731831,195
685.545133,196
688.437691,197
688.341016,198
665.361004,199
719.846589,200
687.287477,201
681.840660,202
665.965726,203
685.811395,204
688.370326,205
692.905656,206
701.986928,207
681.655514,208
685.563370,209
677.192545,210
711.856081,211
689.501789,212
681.006608,213
664.730539,214
678.059765,215
708.665049,216
704.186954,217
747.597247,218
698.951549,219
725.135559,220
693.996618,221
698.459332,222
697.164099,223
688.019707,224
676.357307,225
721.456289,226
679.730762,227
661.760479,228
652.831793,229
707.140263,230
674.365724,231
689.388394,232
697.823053,233
674.326662,234
692.998588,235
692.396436,236
660.672385,237
730.909944,238
705.305601,239
702.826068,240
749.318674,241
675.300481,242
