ploss,period
0.031800,457
0.037056,458
0.014829,459
0.022044,460
0.029102,461
0.017659,462
0.041252,463
0.009985,464
0.018027,465
0.018905,466
0.050277,467
0.024048,468
0.036757,469
0.005481,470
0.032419,471
0.022299,472
0.018256,473
0.043978,474
0.024631,475
0.017722,476
0.017034,477
0.015446,478
0.031047,479
0.039663,480
0.018991,481
0.021021,482
0.005964,483
0.024723,484
0.022727,485
0.018408,486
0.020916,487
0.018677,488
0.014364,489
0.026065,490
0.034688,491
0.048500,492
0.025050,493
0.026249,494
0.014335,495
0.027597,496
0.057751,497
0.044147,498
0.008475,499
0.042084,500
0.032951,501
0.012488,502
0.006536,503
0.025136,504
0.012103,505
0.005506,506
0.002018,507
0.019461,508
0.024318,509
0.039738,510
0.041123,511
0.020060,512
0.041008,513
0.025449,514
0.013466,515
0.014049,516
0.026408,517
0.017026,518
0.011529,519
0.035536,520
0.042436,521
0.028934,522
0.006914,523
0.009264,524
0.049510,525
0.029630,526
0.022613,527
0.014529,528
0.015492,529
0.024476,530
0.039679,531
0.029618,532
0.059028,533
0.031683,534
0.056956,535
0.017060,536
0.004963,537
0.020090,538
0.013609,539
0.024826,540
0.034948,541
0.033550,542
0.019384,543
0.028658,544
0.038635,545
0.009457,546
0.008028,547
0.038213,548
0.020121,549
0.017448,550
0.041477,551
0.010902,552
0.018000,553
0.038403,554
0.055032,555
0.022829,556
0.006589,557
0.028484,558
0.068750,559
0.010081,560
0.033432,561
0.028220,562
0.017535,563
0.024198,564
0.040754,565
0.046443,566
0.019559,567
0.012557,568
0.030333,569
0.015045,570
0.009510,571
0.016484,572
0.012432,573
0.016129,574
0.024728,575
0.013910,576
0.014993,577
0.025810,578
0.034586,579
0.031437,580
0.039480,581
0.047355,582
0.028670,583
0.028254,584
0.017570,585
0.012755,586
0.030500,587
0.020896,588
0.012582,589
0.063980,590
0.005084,591
0.039671,592
0.029604,593
0.051346,594
0.029530,595
0.016641,596
0.017465,597
0.036427,598
0.029190,599
0.020000,600
0.010945,601
0.038889,602
0.017165,603
0.008560,604
0.051449,605
0.041979,606
0.010235,607
0.052449,608
0.050249,609
0.034448,610
0.027282,611
0.020121,612
0.020582,613
0.035928,614
0.018593,615
0.028913,616
0.034311,617
0.030257,618
0.025235,619
0.027068,620
0.015633,621
0.021793,622
0.036036,623
0.010412,624
0.026450,625
0.010443,626
0.016467,627
0.015492,628
0.036757,629
0.032290,630
0.036906,631
0.022886,632
0.031730,633
0.023000,634
0.030785,635
0.016451,636
0.035211,637
0.039039,638
0.024048,639
0.019490,640
0.039619,641
0.029663,642
0.025922,643
0.018009,644
0.013033,645
0.045027,646
0.045913,647
0.038191,648
0.039343,649
0.027174,650
0.037449,651
0.020222,652
0.036834,653
0.066369,654
0.011460,655
0.014963,656
0.039157,657
0.016541,658
0.028486,659
0.011494,660
0.004973,661
0.020070,662
0.022602,663
0.039206,664
0.016178,665
0.006934,666
0.024851,667
0.005530,668
0.021341,669
0.033663,670
0.016558,671
0.036145,672
0.014851,673
0.015889,674
0.030715,675
0.034621,676
0.022466,677
0.020418,678
0.009476,679
0.013547,680
0.014993,681
0.015960,682
0.019628,683
0.032080,684
0.032209,685
0.038329,686
0.026409,687
0.024209,688
0.014940,689
0.012042,690
0.004960,691
0.018649,692
0.034621,693
0.038229,694
0.036779,695
0.025063,696
0.027902,697
0.028543,698
0.024108,699
0.030105,700
0.011375,701
0.039659,702
0.027177,703
0.036482,704
0.029762,705
0.009524,706
0.012878,707
0.016667,708
0.019881,709
0.016410,710
0.008089,711
0.046115,712
0.022840,713
0.021223,714
0.016304,715
0.032161,716
0.007511,717
0.017964,718
0.015053,719
0.019647,720
0.024704,721
0.009481,722
0.020792,723
0.023256,724
0.000000,725
0.039679,726
0.027295,727
0.029693,728
0.037773,729
0.056755,730
0.028571,731
0.039303,732
0.063004,733
0.039441,734
0.009852,735
0.018118,736
0.018081,737
0.018593,738
0.012012,739
0.053027,740
0.028798,741
0.074575,742
0.014676,743
0.030669,744
0.052114,745
0.024900,746
0.027190,747
0.013520,748
0.037717,749
0.022000,750
0.001511,751
0.024938,752
0.023477,753
0.007064,754
0.034108,755
0.010463,756
0.032549,757
0.019413,758
0.003523,759
0.023535,760
0.026527,761
0.016385,762
0.042021,763
0.018593,764
0.013882,765
0.010547,766
0.010035,767
0.013033,768
0.030777,769
0.025591,770
0.005481,771
0.041477,772
0.028964,773
0.016129,774
0.015712,775
0.012519,776
0.035229,777
0.013426,778
0.041750,779
0.022681,780
0.024643,781
0.015015,782
0.021630,783
0.038462,784
0.008937,785
0.010194,786
0.048805,787
0.013360,788
0.036743,789
0.034166,790
0.030452,791
0.031754,792
0.030318,793
0.037093,794
0.013145,795
0.024221,796
0.033401,797
0.028218,798
0.015500,799
0.014478,800
0.012903,801
0.028759,802
0.007466,803
0.036500,804
0.019010,805
0.025138,806
0.021011,807
0.052058,808
0.019647,809
0.024826,810
0.016170,811
0.033651,812
0.048682,813
0.030392,814
0.025126,815
0.016840,816
0.026919,817
0.045068,818
0.049000,819
0.003507,820
0.036665,821
0.030045,822
0.028134,823
0.014042,824
0.029160,825
0.020297,826
0.008487,827
0.014063,828
0.030653,829
0.030531,830
0.043303,831
0.041542,832
0.045094,833
0.050959,834
