grt,batch
660.395464,1
679.681223,2
696.848207,3
658.745753,4
689.057819,5
702.363044,6
672.179353,7
677.358105,8
685.562630,9
707.389783,10
662.826638,11
676.282509,12
676.809886,13
688.217485,14
686.930997,15
704.135238,16
684.252819,17
674.654712,18
701.830628,19
689.047212,20
664.323615,21
685.504316,22
702.199142,23
669.873908,24
703.343716,25
680.872896,26
673.671885,27
684.780269,28
675.123371,29
714.863614,30
675.730561,31
691.688140,32
666.702779,33
694.024463,34
693.234506,35
692.313763,36
677.740657,37
687.456619,38
691.288475,39
704.166117,40
691.572319,41
704.813114,42
695.847053,43
709.655000,44
702.561290,45
708.071904,46
716.431478,47
668.025203,48
655.203321,49
676.634950,50
703.715312,51
687.882793,52
706.955290,53
665.038942,54
679.304327,55
681.552273,56
682.333029,57
667.637224,58
689.189486,59
657.266029,60
700.437844,61
670.965351,62
681.249538,63
681.453341,64
690.170927,65
704.252042,66
720.321588,67
680.063447,68
674.469277,69
672.794015,70
680.767392,71
683.734173,72
702.544260,73
651.862224,74
709.412040,75
716.108594,76
672.239587,77
684.501548,78
692.798197,79
675.563080,80
709.540852,81
687.911020,82
700.637741,83
667.310115,84
669.302246,85
658.617555,86
680.987582,87
668.536264,88
676.230476,89
695.766098,90
699.245846,91
710.219672,92
683.319647,93
682.407480,94
716.438151,95
680.818351,96
694.244859,97
708.965941,98
662.238502,99
697.398663,100
701.219996,101
671.492345,102
696.120136,103
672.336163,104
679.298792,105
692.586059,106
695.972641,107
704.386949,108
684.844581,109
680.503299,110
703.791236,111
676.327674,112
660.947946,113
715.461626,114
699.135566,115
731.318467,116
684.092830,117
677.827371,118
689.878759,119
696.399298,120
693.435915,121
706.842399,122
684.184867,123
682.939124,124
681.450565,125
674.805701,126
712.439750,127
694.914077,128
653.586478,129
701.102071,130
707.561476,131
686.483624,132
716.903815,133
718.969903,134
681.812350,135
672.229155,136
717.990511,137
696.107406,138
677.905646,139
665.812368,140
673.118392,141
687.918857,142
667.680418,143
673.450796,144
677.889931,145
665.733738,146
687.443036,147
707.101666,148
734.936239,149
685.482074,150
721.490574,151
663.200567,152
683.430389,153
701.037549,154
718.742171,155
662.158846,156
685.629969,157
671.313848,158
692.560644,159
678.768479,160
671.222037,161
695.512245,162
673.833776,163
694.941929,164
698.584943,165
693.019845,166
680.128485,167
717.647222,168
668.866285,169
682.261185,170
721.809381,171
679.671803,172
663.233883,173
677.756130,174
700.615418,175
715.677974,176
705.976064,177
690.045319,178
691.920262,179
695.721548,180
697.771174,181
711.405894,182
684.022730,183
711.780161,184
696.484619,185
676.680329,186
702.440578,187
665.581020,188
685.689531,189
731.473192,190
695.020571,191
668.817999,192
692.787558,193
729.883798,194
684.857596,195
679.739634,196
688.841516,197
702.979960,198
671.454080,199
678.284710,200
669.646515,201
676.414515,202
668.685474,203
663.676459,204
672.454290,205
684.713238,206
695.090162,207
692.102278,208
685.641416,209
669.001155,210
684.560706,211
693.447340,212
704.098461,213
687.446207,214
685.534597,215
671.920828,216
679.372863,217
690.798696,218
708.868382,219
719.213664,220
708.717456,221
695.315708,222
687.708952,223
729.685073,224
692.445468,225
698.227828,226
685.663414,227
700.657906,228
710.437067,229
698.202604,230
707.230922,231
702.146772,232
687.134790,233
696.391301,234
691.566874,235
680.233697,236
686.268602,237
682.080762,238
698.397341,239
670.816223,240
675.986340,241
687.892104,242
680.073563,243
679.878405,244
711.969530,245
690.004827,246
700.634860,247
662.528283,248
672.065448,249
724.291311,250
682.010730,251
678.241103,252
687.651079,253
679.549053,254
679.613814,255
689.753200,256
661.253786,257
713.894795,258
710.421303,259
696.581956,260
664.666391,261
661.287100,262
671.443507,263
682.026901,264
696.752608,265
703.081951,266
664.198518,267
702.564558,268
675.213831,269
710.515230,270
686.998806,271
690.063768,272
712.616600,273
697.297525,274
687.327534,275
710.495119,276
676.096659,277
676.304497,278
681.702662,279
696.893837,280
664.291523,281
700.457219,282
700.837553,283
688.400689,284
684.801255,285
709.758470,286
678.619130,287
682.703906,288
787.345415,289
687.420914,290
709.654839,291
694.308184,292
664.761804,293
689.330271,294
703.273846,295
686.744494,296
678.185458,297
667.375292,298
674.698920,299
720.821304,300
692.400566,301
685.959215,302
687.416830,303
662.773002,304
672.584281,305
688.179295,306
677.377306,307
706.160832,308
676.980920,309
714.781748,310
669.950980,311
674.260534,312
685.448921,313
692.094565,314
698.618295,315
705.271653,316
677.378849,317
655.321782,318
688.593295,319
683.180773,320
694.832964,321
674.700223,322
673.199957,323
702.497361,324
702.895432,325
687.621054,326
697.284969,327
703.863380,328
704.352043,329
706.061307,330
684.045701,331
703.095213,332
694.058761,333
684.294579,334
687.722084,335
746.926960,336
747.014043,337
703.243373,338
686.555588,339
707.830117,340
700.963376,341
686.511428,342
686.654523,343
680.672889,344
702.860582,345
687.596549,346
684.488110,347
701.093486,348
703.856029,349
646.773565,350
657.570926,351
695.300337,352
659.282109,353
666.442413,354
686.473140,355
706.566527,356
703.641486,357
674.336730,358
739.020862,359
701.865470,360
634.855543,361
721.137242,362
688.126204,363
675.336699,364
708.789475,365
674.405634,366
718.275819,367
710.764093,368
682.233357,369
700.361458,370
669.360724,371
684.789017,372
707.681492,373
676.967133,374
680.650461,375
656.717211,376
680.801514,377
717.332947,378
673.334530,379
668.237998,380
682.800182,381
664.372979,382
685.907806,383
695.240034,384
700.495220,385
672.069753,386
693.570137,387
688.920402,388
713.849093,389
667.156190,390
741.467425,391
680.385439,392
693.028455,393
653.549439,394
656.895571,395
695.574238,396
677.606426,397
692.870796,398
674.925864,399
711.724421,400
671.420089,401
724.587792,402
678.465078,403
693.360583,404
683.182247,405
650.896216,406
676.994662,407
697.672125,408
668.994575,409
702.351992,410
708.489842,411
690.213121,412
716.074960,413
665.269124,414
702.536491,415
697.877141,416
688.071250,417
708.401967,418
696.542009,419
690.627044,420
687.281299,421
666.013415,422
702.867630,423
701.365324,424
685.758175,425
694.476055,426
668.569114,427
726.203849,428
691.578117,429
689.748194,430
703.714323,431
675.282213,432
693.956895,433
654.455404,434
686.141283,435
685.235455,436
668.557411,437
689.395228,438
687.245390,439
673.164279,440
710.425210,441
663.742485,442
706.210930,443
696.788466,444
683.182185,445
699.069825,446
687.987483,447
683.449447,448
725.494702,449
696.298836,450
657.482386,451
710.681858,452
731.043907,453
682.381267,454
706.025110,455
696.672018,456
712.048713,457
678.472717,458
699.710854,459
659.579394,460
669.625419,461
687.095467,462
670.483241,463
703.402367,464
677.141976,465
697.972116,466
684.924353,467
695.151837,468
682.746095,469
671.086549,470
678.763234,471
677.997328,472
662.064614,473
692.478844,474
679.447825,475
713.667956,476
673.001170,477
666.437405,478
691.111798,479
649.128017,480
697.364430,481
699.477598,482
696.529767,483
667.846538,484
689.377349,485
699.008017,486
710.525095,487
689.456228,488
664.096552,489
716.223403,490
715.499121,491
689.688580,492
683.421583,493
665.917989,494
664.267406,495
696.706002,496
650.016461,497
695.636985,498
684.551307,499
713.091508,500
674.594018,501
692.047149,502
699.483469,503
693.087905,504
692.785563,505
719.474526,506
645.793690,507
669.891125,508
687.008056,509
673.496396,510
662.139588,511
695.057041,512
692.176421,513
688.928514,514
654.905640,515
664.218639,516
668.276321,517
676.999260,518
702.932193,519
651.302958,520
653.804489,521
669.186402,522
663.163697,523
690.723451,524
672.318609,525
665.934494,526
704.087947,527
698.935679,528
669.101001,529
697.291128,530
672.748349,531
681.927762,532
682.896411,533
702.369702,534
684.870448,535
657.818791,536
697.854865,537
676.694714,538
656.980218,539
688.990876,540
691.418717,541
672.736017,542
678.110866,543
675.879543,544
700.604750,545
704.590720,546
683.445026,547
689.731078,548
731.711963,549
659.090525,550
704.279534,551
692.587783,552
699.424440,553
678.996962,554
734.944955,555
684.490306,556
700.294376,557
684.024789,558
679.074538,559
684.134583,560
680.643483,561
685.459589,562
690.367603,563
702.159517,564
687.072457,565
677.241395,566
683.450227,567
682.985876,568
714.305485,569
673.602608,570
719.593897,571
774.890698,572
694.398337,573
669.051147,574
695.040648,575
679.041209,576
652.236163,577
701.836249,578
664.660872,579
673.709086,580
695.157106,581
702.882719,582
688.300887,583
674.148716,584
732.356462,585
684.961661,586
679.109936,587
710.279841,588
666.288395,589
663.895613,590
661.756801,591
711.163902,592
689.358420,593
669.839495,594
696.442610,595
671.207590,596
674.550619,597
704.265410,598
679.828658,599
699.676072,600
693.826167,601
651.203348,602
681.988389,603
659.818454,604
677.838641,605
682.879147,606
675.907349,607
694.999835,608
689.444176,609
709.633395,610
690.708548,611
688.492433,612
669.212591,613
705.532937,614
715.715018,615
699.094834,616
702.745301,617
657.671987,618
703.197768,619
672.704229,620
676.757222,621
693.261555,622
690.045821,623
686.873534,624
692.369569,625
686.034303,626
685.722201,627
664.952992,628
674.663162,629
693.407383,630
681.563351,631
654.706329,632
670.790030,633
676.040609,634
678.342359,635
663.889952,636
669.697344,637
701.124290,638
694.706319,639
679.881404,640
692.706139,641
673.392385,642
695.143441,643
704.644633,644
699.912258,645
684.663888,646
713.814096,647
659.570516,648
660.738657,649
717.112483,650
695.562304,651
671.038060,652
674.758726,653
676.479542,654
666.735639,655
710.525247,656
663.317635,657
693.956328,658
663.676075,659
697.464397,660
699.480540,661
654.944770,662
657.780207,663
692.399254,664
674.607201,665
696.404059,666
685.330444,667
679.241485,668
677.014424,669
673.654385,670
682.360674,671
714.608594,672
701.173558,673
678.412253,674
663.385594,675
680.292309,676
652.724845,677
694.630721,678
687.421345,679
663.948716,680
670.570238,681
693.723663,682
667.162801,683
664.567274,684
665.995413,685
701.312870,686
689.592011,687
690.465407,688
683.203752,689
698.556278,690
681.248530,691
710.737776,692
695.012694,693
666.611486,694
691.371976,695
687.351969,696
668.132594,697
674.080634,698
677.039684,699
693.923080,700
704.784661,701
715.224760,702
684.071683,703
685.590574,704
704.463801,705
697.211607,706
677.112807,707
726.093769,708
694.765015,709
673.150112,710
671.495539,711
686.915790,712
689.976094,713
684.316640,714
663.354420,715
685.859986,716
701.565377,717
697.201550,718
681.521502,719
676.602372,720
682.924904,721
686.678727,722
668.803323,723
690.063081,724
681.632986,725
710.394486,726
693.332287,727
661.308176,728
701.184649,729
684.039840,730
689.328997,731
697.132537,732
673.985914,733
703.963393,734
699.954762,735
671.857926,736
660.187633,737
664.333729,738
692.017920,739
684.079438,740
673.073413,741
694.259160,742
676.326780,743
669.020589,744
757.716363,745
715.803794,746
685.643032,747
682.093158,748
679.939218,749
678.965158,750
701.827436,751
710.777274,752
691.853574,753
704.995290,754
748.802729,755
720.630111,756
680.689247,757
700.278109,758
682.559207,759
677.919126,760
750.396759,761
705.921044,762
651.760055,763
679.207756,764
749.760671,765
702.740806,766
682.145610,767
645.367135,768
708.610761,769
661.904151,770
661.748019,771
706.383130,772
672.457074,773
720.515205,774
