ploss,batch
0.039739,1
0.033881,2
0.053347,3
0.046260,4
0.051968,5
0.049058,6
0.051256,7
0.059381,8
0.024635,9
0.051603,10
0.073146,11
0.034636,12
0.041751,13
0.032193,14
0.062192,15
0.059649,16
0.068239,17
0.058350,18
0.034431,19
0.033066,20
0.023028,21
0.049671,22
0.038638,23
0.065153,24
0.032918,25
0.050100,26
0.054463,27
0.050639,28
0.048793,29
0.084704,30
0.035895,31
0.046569,32
0.023967,33
0.032130,34
0.048476,35
0.042021,36
0.065934,37
0.026660,38
0.047476,39
0.030542,40
0.055669,41
0.047717,42
0.068676,43
0.067515,44
0.078243,45
0.022538,46
0.059089,47
0.042111,48
0.045184,49
0.059030,50
0.050201,51
0.035750,52
0.029249,53
0.066402,54
0.041856,55
0.066268,56
0.040663,57
0.046214,58
0.033045,59
0.028383,60
0.036282,61
0.043608,62
0.053075,63
0.064434,64
0.038052,65
0.073350,66
0.047524,67
0.040424,68
0.037680,69
0.051531,70
0.061103,71
0.045499,72
0.043917,73
0.077856,74
0.033168,75
0.068897,76
0.038635,77
0.035429,78
0.064773,79
0.067404,80
0.053973,81
0.045455,82
0.057798,83
0.020010,84
0.043325,85
0.065582,86
0.041877,87
0.072144,88
0.066734,89
0.053960,90
0.045432,91
0.054040,92
0.047358,93
0.056927,94
0.053536,95
0.034226,96
0.040306,97
0.048283,98
0.057673,99
0.035131,100
0.056738,101
0.053607,102
0.043435,103
0.069258,104
0.041605,105
0.017677,106
0.034448,107
0.039039,108
0.071996,109
0.029633,110
0.040278,111
0.063968,112
0.055697,113
0.058679,114
0.050797,115
0.082956,116
0.060484,117
0.054645,118
0.063540,119
0.020608,120
0.062280,121
0.047883,122
0.045072,123
0.050882,124
0.039382,125
0.028386,126
0.043369,127
0.034260,128
0.053030,129
0.070792,130
0.055391,131
0.043169,132
0.057876,133
0.068115,134
0.062563,135
0.042017,136
0.031802,137
0.071571,138
0.041438,139
0.035035,140
0.030243,141
0.038304,142
0.051980,143
0.042205,144
0.056359,145
0.032000,146
0.037374,147
0.045977,148
0.083791,149
0.036908,150
0.032161,151
0.044732,152
0.027390,153
0.023517,154
0.042564,155
0.075359,156
0.050924,157
0.040500,158
0.034119,159
0.043611,160
0.067025,161
0.046875,162
0.066865,163
0.023325,164
0.050152,165
0.037074,166
0.057644,167
0.041646,168
0.052135,169
0.055723,170
0.053661,171
0.041958,172
0.042532,173
0.037936,174
0.047833,175
0.041874,176
0.046593,177
0.053347,178
0.049221,179
0.093220,180
0.030730,181
0.045387,182
0.038942,183
0.036779,184
0.047024,185
0.045113,186
0.068706,187
0.059635,188
0.035000,189
0.037167,190
0.074447,191
0.041751,192
0.036688,193
0.049975,194
0.042479,195
0.048048,196
0.036181,197
0.035131,198
0.051128,199
0.018381,200
0.065140,201
0.040816,202
0.061531,203
0.031096,204
0.016811,205
0.062096,206
0.042683,207
0.090596,208
0.039643,209
0.060389,210
0.069848,211
0.072609,212
0.042786,213
0.044746,214
0.036798,215
0.060423,216
0.038076,217
0.046798,218
0.034149,219
0.062749,220
0.050475,221
0.042829,222
0.033133,223
0.052632,224
0.054435,225
0.079940,226
0.052632,227
0.043699,228
0.050149,229
0.045936,230
0.054869,231
0.034569,232
0.035978,233
0.049339,234
0.043978,235
0.029762,236
0.029589,237
0.062062,238
0.042564,239
0.031500,240
0.058941,241
0.054739,242
0.064516,243
0.034260,244
0.034448,245
0.063068,246
0.042893,247
0.039761,248
0.063549,249
0.057072,250
0.046017,251
0.024660,252
0.045908,253
0.058617,254
0.067235,255
0.040218,256
0.033384,257
0.066304,258
0.039128,259
0.033890,260
0.051587,261
0.063646,262
0.078325,263
0.062187,264
0.060484,265
0.075173,266
0.040319,267
0.048842,268
0.026104,269
0.058824,270
0.062655,271
0.046441,272
0.032307,273
0.062902,274
0.044709,275
0.044656,276
0.070606,277
0.052343,278
0.062563,279
0.053758,280
0.058209,281
0.049874,282
0.043091,283
0.046418,284
0.049849,285
0.043436,286
0.061602,287
0.072134,288
0.031203,289
0.069767,290
0.055666,291
0.061747,292
0.068744,293
0.066901,294
0.044865,295
0.050480,296
0.066567,297
0.041522,298
0.041013,299
0.023524,300
0.064325,301
0.078007,302
0.065239,303
0.032016,304
0.059679,305
0.072139,306
0.053401,307
0.050576,308
0.055638,309
0.023559,310
0.033635,311
0.033467,312
0.043305,313
0.042770,314
0.047006,315
0.043864,316
0.058527,317
0.045614,318
0.044545,319
0.049801,320
0.039295,321
0.043393,322
0.061173,323
0.020854,324
0.034397,325
0.063627,326
0.018454,327
0.041898,328
0.039137,329
0.045545,330
0.032836,331
0.035824,332
0.057864,333
0.069208,334
0.079842,335
0.045132,336
0.032242,337
0.052711,338
0.052314,339
0.059441,340
0.041979,341
