grt,batch
761.796046,1
669.740713,2
718.500928,3
675.690182,4
673.179221,5
682.369880,6
702.100010,7
695.967141,8
656.473305,9
678.583493,10
693.530003,11
711.868985,12
680.624065,13
693.544685,14
677.585710,15
674.703705,16
673.677502,17
693.831224,18
677.265562,19
685.754560,20
704.730825,21
689.091605,22
668.603451,23
681.765957,24
687.855734,25
690.290095,26
681.588620,27
676.363388,28
669.650314,29
682.298745,30
669.918459,31
666.052350,32
699.007320,33
698.511267,34
682.147130,35
675.242180,36
707.035307,37
673.260335,38
707.143145,39
717.267827,40
661.405176,41
699.325932,42
733.541465,43
684.191587,44
674.627843,45
678.156368,46
690.155180,47
679.199015,48
675.455337,49
713.699771,50
696.385512,51
692.557860,52
679.926718,53
668.615682,54
692.200415,55
697.840380,56
731.131428,57
654.903717,58
700.571038,59
684.469631,60
688.676934,61
665.839359,62
683.080892,63
684.390740,64
688.978470,65
698.306922,66
718.491537,67
620.840549,68
703.485950,69
673.702497,70
693.366766,71
677.031738,72
692.792499,73
694.287013,74
721.533936,75
662.862956,76
648.023161,77
754.216159,78
666.163696,79
665.527730,80
676.508379,81
691.220877,82
700.148577,83
709.214178,84
707.387778,85
680.934706,86
680.921732,87
703.824269,88
693.030487,89
656.356386,90
677.982676,91
694.431670,92
719.221898,93
685.778137,94
650.355848,95
674.649628,96
672.038361,97
715.048288,98
695.585346,99
664.526718,100
684.757615,101
695.335304,102
664.283810,103
708.633093,104
688.457360,105
675.967138,106
712.245127,107
692.767255,108
705.153970,109
669.785677,110
698.314360,111
700.430613,112
661.783449,113
691.214417,114
692.777638,115
691.689419,116
706.284941,117
666.481066,118
697.898472,119
686.745994,120
708.839057,121
688.176034,122
691.094825,123
701.071683,124
713.288829,125
659.120369,126
688.152196,127
669.067785,128
704.765257,129
675.480000,130
691.655832,131
668.197914,132
686.878118,133
696.500594,134
676.625082,135
692.395996,136
680.946619,137
696.041192,138
714.942222,139
701.854837,140
673.353740,141
700.959822,142
676.516519,143
680.985816,144
689.318711,145
686.034046,146
652.648616,147
659.941403,148
672.479924,149
717.136671,150
685.349292,151
695.091220,152
669.513430,153
696.378872,154
689.377277,155
707.983217,156
703.034803,157
697.506638,158
671.433697,159
681.313645,160
706.533269,161
687.541232,162
686.021313,163
700.437135,164
646.051262,165
706.924701,166
684.144160,167
687.710905,168
684.781793,169
746.161686,170
681.231925,171
690.508909,172
704.175371,173
730.859793,174
686.809472,175
672.503270,176
693.822150,177
677.532877,178
692.254882,179
673.676049,180
668.429705,181
712.954313,182
654.870701,183
647.636277,184
694.136876,185
692.483403,186
707.643533,187
665.915739,188
699.966453,189
675.867153,190
680.448819,191
697.172265,192
685.468156,193
691.489149,194
643.804226,195
686.977949,196
690.721453,197
683.692966,198
646.318957,199
719.164862,200
685.062601,201
683.332978,202
658.859255,203
717.472769,204
659.250371,205
674.671749,206
732.923449,207
674.338823,208
681.537610,209
673.619923,210
748.891962,211
697.369499,212
666.987583,213
674.097840,214
689.638748,215
718.927680,216
707.345773,217
676.876069,218
682.660650,219
747.191289,220
653.701658,221
702.783825,222
713.012283,223
683.913164,224
690.198111,225
701.252547,226
713.514088,227
683.145345,228
713.418967,229
673.233304,230
