ploss,period
0.000000,900
0.000000,981
0.000000,1080
0.000000,1200
0.002950,1350
0.000000,1542
0.000000,1800
0.000000,2160
0.008130,2700
0.000000,3600
0.045857,5400
0.051881,10800
