ploss,period
0.000000,900
0.000000,981
0.000000,1080
0.000000,1200
0.000000,1350
0.000000,1542
0.000000,1800
0.000000,2160
0.000000,2700
0.012270,3600
0.040801,5400
0.039676,10800
