grt,period
685.947422,10800
683.728153,11250
683.341124,11700
682.980079,12150
682.492390,12600
683.462929,13050
681.597778,13500
678.647224,13950
675.215602,14400
674.036329,14850
676.450380,15300
675.209007,15750
676.582032,16200
677.039688,16650
677.838664,17100
676.822916,17550
678.569249,18000
680.723534,18450
679.381073,18900
680.573725,19350
680.290780,19800
679.750181,20250
682.493719,20700
680.026596,21150
680.417821,21600
