grt,period
691.754835,10800
687.983866,11250
680.595197,11700
690.753762,12150
674.626915,12600
686.669839,13050
691.364060,13500
688.265015,13950
672.486799,14400
670.220901,14850
673.369542,15300
690.987047,15750
695.445273,16200
695.127623,16650
694.333692,17100
677.030226,17550
696.112184,18000
678.805400,18450
679.055620,18900
677.673749,19350
694.021181,19800
696.055128,20250
678.725691,20700
677.375012,21150
679.180689,21600
