ploss,period
0.000000,900
0.000000,981
0.000000,1080
0.010453,1200
0.000000,1350
0.000000,1542
0.007389,1800
0.028630,2160
0.001664,2700
0.021378,3600
0.047658,5400
0.030483,10800
