ploss,period
0.000000,900
0.000000,981
0.000000,1080
0.000000,1200
0.000000,1350
0.000000,1542
0.037363,1800
0.000000,2160
0.023891,2700
0.047970,3600
0.054795,5400
0.030732,10800
