grt,period
682.239522,10800
685.402343,11250
683.224059,11700
684.353124,12150
681.155964,12600
677.534269,13050
675.023960,13500
674.647952,13950
675.067805,14400
676.353865,14850
675.893884,15300
675.715455,15750
676.758066,16200
675.564384,16650
676.119783,17100
676.441165,17550
676.915852,18000
674.006259,18450
671.398349,18900
671.021620,19350
671.478395,19800
671.763498,20250
674.386251,20700
672.434039,21150
671.974461,21600
